date,value
2020-01-01,-0.8139117580886401
2020-01-02,-0.6782198146512847
2020-01-03,-0.6847610404246752
2020-01-04,-0.6415968528715496
2020-01-05,-0.5031036631804773
2020-01-06,-0.3761762528406523
2020-01-07,-0.25841752443362176
2020-01-08,-0.09923506883066913
2020-01-09,-0.026628627047126194
2020-01-10,0.1542461071628665
2020-01-11,0.21893959084352638
2020-01-12,0.37776045175085515
2020-01-13,0.5846840982378859
2020-01-14,0.5571119604998778
2020-01-15,0.8060431554724916
2020-01-16,0.8943665848566649
2020-01-17,0.845666048621354
2020-01-18,0.979421053247288
2020-01-19,0.8927507764583333
2020-01-20,1.0827296843467333
2020-01-21,1.0035992791425805
2020-01-22,0.896627037192561
2020-01-23,1.0275497714291753
2020-01-24,0.844631000290184
2020-01-25,0.9438727498627048
2020-01-26,0.86205845943757
2020-01-27,0.6813658817143587
2020-01-28,0.4673560860697899
2020-01-29,0.5641545014250539
2020-01-30,0.33445684680700033
2020-01-31,0.30314950592106144
2020-02-01,0.1688113865236472
2020-02-02,0.05769969817488518
2020-02-03,-0.0069052345826318695
2020-02-04,-0.16241579028345174
2020-02-05,-0.3454407134399675
2020-02-06,-0.5148595169392896
2020-02-07,-0.4874296314509411
2020-02-08,-0.8349896774338033
2020-02-09,-0.566277662168764
2020-02-10,-0.9283756628050398
2020-02-11,-0.7958666948050843
2020-02-12,-0.9420238072417747
2020-02-13,-0.9971891123817327
2020-02-14,-0.9620723445159427
2020-02-15,-0.9787926067573179
2020-02-16,-0.8820436200373225
2020-02-17,-1.0059243344004616
2020-02-18,-0.9257623948252316
2020-02-19,-0.738543109742321
2020-02-20,-0.7620533066825423
2020-02-21,-0.8850149061601673
2020-02-22,-0.6301800395424899
2020-02-23,-0.6139775368300407
2020-02-24,-0.36855713196968404
2020-02-25,-0.23742666855076316
2020-02-26,-0.12064230005161622
2020-02-27,0.030113833861817027
2020-02-28,-0.09683220338963369
2020-02-29,0.14448281988106082
2020-03-01,0.255190039158111
2020-03-02,0.3727684956500827
2020-03-03,0.6684459023358983
2020-03-04,0.7446933145004141
2020-03-05,0.6304588436476724
2020-03-06,0.8782501290163177
2020-03-07,0.9705269980019569
2020-03-08,0.8577750612487086
2020-03-09,0.9981768574109797
2020-03-10,1.0351650589933064
2020-03-11,0.9718911661483575
2020-03-12,0.8769957846309617
2020-03-13,0.963664089737202
2020-03-14,0.8601817566144578
2020-03-15,0.7947513266418532
2020-03-16,0.9517269634039791
2020-03-17,0.7453543915595673
2020-03-18,0.6516256456105766
2020-03-19,0.3459734774098128
2020-03-20,0.3009557249329753
2020-03-21,0.026800108617931244
2020-03-22,0.24002768645363376
2020-03-23,-0.07769787331765729
2020-03-24,0.06740556047878438
2020-03-25,0.06121631688247933
2020-03-26,-0.23873708472857466
2020-03-27,-0.6086052698196289
2020-03-28,-0.46185550702176864
2020-03-29,-0.9267846313379512
2020-03-30,-0.7499728216096341
2020-03-31,-0.8938422590816638
2020-04-01,-0.7949524280951017
2020-04-02,-1.0085343553669734
2020-04-03,-0.9259986774593445
2020-04-04,-1.0026131930473154
2020-04-05,-0.9284145958347875
2020-04-06,-1.0850088345724473
2020-04-07,-1.078489197676495
2020-04-08,-0.6850819187968054
2020-04-09,-0.7142849816653798
